Rank,City,Region,QualityofLifeIndex,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,"Raleigh, NC",east,208.9,147.16,65.09,75.64,66.74,3.06,32.79,21.88,83.88
2,"Columbus, OH",east,199.58,146.93,56.58,73.95,68.45,4.2,24.94,25.96,71.29
3,"Charlotte, NC",east,198.95,148.45,54.7,74.63,68.58,2.47,34.73,28.44,84.05
4,"Madison, WI",east,198.26,132.38,66,77.78,67.28,3.52,24.18,20.52,51.64
5,"Austin, TX",centural,197.37,155.59,62.94,70.87,65.98,3.75,34.3,36.81,82.08
6,"Oklahoma City, OK",centural,194.4,123.73,50.69,75.78,66.59,2.78,25,22.02,77.61
7,"Seattle, WA",west,191.72,151.02,49.32,74.06,88.84,4.32,41.94,29.06,91.73
8,"Richmond, VA",east,191.14,125.8,52.74,74.69,68.37,3.94,21.96,31.14,81.27
9,"Dallas, TX",centural,191.06,166.74,49.74,66.2,67.79,2.18,35.16,41.61,81.85
10,"Buffalo, NY",east,190.23,121.75,55.5,76.96,74.65,1.52,23.22,27.82,66.43
11,"San Diego, CA",west,188.72,126.53,62.59,71.01,76.8,5.95,33.89,35.05,97.08
12,"San Jose, CA",west,188.37,158.84,53.91,73.38,73.66,6.43,38.26,45.58,95.53
13,"Kansas City, MO",east,184.63,127.32,42.59,75.4,65.73,2.21,26.11,31.41,75.08
14,"San Antonio, TX",centural,181.74,137.35,51.49,70.59,62.07,2.16,30.38,45.71,80.58
15,"Jacksonville, FL",east,180.77,142.62,43.76,69.66,67.79,3.02,35.33,41.74,87.81
16,"Cincinnati, OH",east,179.73,130.88,51.58,68.77,63.61,2.16,25.07,43.92,73.24
17,"Albuquerque, NM",west,177.94,137.26,29.24,64.29,62.72,2.76,25.12,27.09,67.06
18,"Orlando, FL",east,176.82,124.67,48.59,63.82,67.05,3.16,36.68,35.61,87.23
19,"Spokane, WA",west,176.31,113.39,45.22,63.66,67.36,5.14,23.73,23.63,67.12
20,"Portland, OR",west,176.13,106.33,48.43,73.18,77.94,4.61,33.38,30.98,89.56
21,"Houston, TX",centural,176.12,169.75,36.03,71.77,64.6,2.13,41.9,56.2,85.53
22,"Boston, MA",east,175.87,118.5,62.64,75.84,85.12,8.02,45.36,26.83,71.73
23,"Indianapolis, IN",east,174.93,130.86,42.42,73.25,66.36,1.96,29.54,41.78,69.92
24,"Boise, ID",west,174.04,83.54,63.72,81.26,66.51,7.3,22.26,30.55,65.11
25,"Cleveland, OH",east,173.96,127.48,35.94,80.36,74.8,1.4,33.74,38.65,73.11
26,"Saint Louis, MO",east,172.71,122.32,29.28,80.85,65.56,1.93,27.23,39.04,74.75
27,"Tampa, FL",east,172.54,99.96,52.13,68.08,75.97,3.85,35.84,29.39,84.67
28,"Nashville, TN",east,172.34,116.46,53.16,63.95,72.55,3.52,38.98,35.71,83.02
29,"Anchorage, AK",west,171.18,124.04,37.73,61.96,90,2.57,27.15,16.2,41.61
30,"Pittsburgh, PA",east,170.36,113.47,61.22,75.58,79.91,2.4,37.49,46.17,72.13
31,"Salt Lake City, UT",west,170.19,141.37,67.15,71.46,65.24,5.02,35.07,62.42,66.52
32,"Minneapolis, MN",east,170.08,117.79,44.94,78.9,77.6,3.69,36.31,26.92,49.46
33,"Denver, CO",west,168.06,132.07,54.94,69.55,75.21,4.07,36.19,43.7,56.28
34,"Washington, DC",east,167.13,129.97,41.29,69.62,83.12,5.29,40.49,40.06,81.62
35,"Fort Worth, TX",centural,166.78,112.45,56.91,63.27,70.25,2.96,25.19,54.86,81.56
36,"Atlanta, GA",east,165.25,129.37,36.75,68.43,75.5,3.76,41.86,44.88,89.73
37,"Milwaukee, WI",east,164.88,112.41,33.06,66.8,71.93,2.44,28.54,29.63,60.96
38,"Baltimore, MD",east,164.79,133.33,24.26,77.3,73.64,1.95,31.55,50.38,81.24
39,"Sacramento, CA",west,163.96,103.11,51.42,69.04,78.68,8.7,26.99,46.13,90.64
40,"Tucson, AZ",west,163.85,82.06,49.81,60.77,63.23,4.14,28.29,26.7,72.66
41,"Oakland, CA",west,163.57,112.08,34.17,77.4,92.77,7.2,37.69,39.19,96.4
42,"Reno, NV",west,163.57,91.11,55.51,61.23,70.08,4.94,25.1,32.08,62.28
43,"Honolulu, HI",west,160.57,89.42,53.95,72.53,103.25,7.12,41.19,37.39,95.33
44,"Phoenix, AZ",west,157.64,133.34,48.17,67.15,69.11,3.82,32.62,56.27,53.76
45,"San Francisco, CA",west,156.65,133.54,40.65,64.56,93.59,7.2,51.23,49.74,97.26
46,"Chicago, IL",east,155.83,138.32,33.93,65.67,75.76,3.42,41.85,49.26,66.11
47,"Las Vegas, NV",west,153.69,122.81,44.88,55.83,68.18,3.53,27.41,52.93,57.4
48,"Miami, FL",east,152.44,90.86,46.68,63.47,77.61,5.49,43.31,39.43,85.69
49,"Philadelphia, PA",east,149.67,112.58,37.09,69.84,79.8,4.07,40.26,53.49,77.98
50,"Los Angeles, CA",west,142.91,128.26,49.67,61.71,78.48,6.31,61.07,67.59,95.5
51,"New York, NY",east,137.89,100,52.7,61.83,100,9.83,42.77,57.81,79.66
52,"Detroit, MI",east,133.53,111.43,25.47,62.39,72.47,1.35,45.09,59.4,66.03